STOKE CITY,LIVERPOOL,24 May 2015,38,27602,6 - 1,W,L,D,D,D,L,W,L,L,D,A. Begović,E. Pieters,R. Shawcross,G. Cameron,Muniesa,C. Adam,G. Whelan,S. N'Zonzi,J. Walters,M. Arnautović,M. Diouf,M. Hughes,S. Mignolet,M. Škrtel,M. Sakho,Alberto Moreno,S. Gerrard,Lucas Leiva,A. Lallana,J. Allen,J. Henderson,Philippe Coutinho,E. Can,B. Rodgers
CRYSTAL PALACE,SWANSEA CITY,24 May 2015,38,25076,1 - 0,W,W,W,D,W,L,L,L,L,L,W. Hennessey,B. Hangeland,S. Dann,J. Ward,P. Souaré,M. Jedinak,J. Puncheon,J. McArthur,M. Chamakh,Y. Bolasie,W. Zaha,A. Pardew,Ł. Fabiański,K. Naughton,F. Fernández,J. Richards,K. Bartley,N. Dyer,J. Cork,L. Britton,J. Montero,B. Gomis,M. Emnes,G. Monk
LEICESTER CITY,QUEENS PARK RANGERS,24 May 2015,38,31467,5 - 1,L,W,L,L,D,L,W,L,L,W,K. Schmeichel,R. Huth,M. Wasilewski,W. Morgan,J. Schlupp,E. Cambiasso,A. King,M. Albrighton,R. Mahrez,L. Ulloa,J. Vardy,N. Pearson,A. McCarthy,N. Onuoha,R. Dunne,C. Hill,Yun Suk-Young,J. Barton,K. Henry,L. Fer,M. Phillips,C. Austin,R. Grego-Cox,C. Ramsey
CHELSEA,SUNDERLAND,24 May 2015,38,41620,3 - 1,W,L,D,W,W,W,L,L,D,D,P. Čech,J. Terry,G. Cahill,B. Ivanović,Azpilicueta,J. Obi Mikel,N. Matić,Juan Cuadrado,D. Drogba,Willian,E. Hazard,José Mourinho,V. Mannone,J. O'Shea,B. Jones,S. Coates,P. van Aanholt,A. Johnson,S. Larsson,J. Rodwell,S. Fletcher,J. Defoe,C. Wickham,D. Advocaat
MANCHESTER CITY,SOUTHAMPTON,24 May 2015,38,45919,2 - 0,W,W,D,W,W,L,W,D,W,L,J. Hart,M. Demichelis,P. Zabaleta,A. Kolarov,E. Mangala,F. Lampard,J. Milner,David Silva,Y. Touré,Fernandinho,S. Agüero,M. Pellegrini,K. Davis,José Fonte,R. Bertrand,N. Clyne,T. Alderweireld,S. Davis,V. Wanyama,F. Đuričić,S. Long,G. Pellè,S. Mané,R. Koeman
ASTON VILLA,BURNLEY,24 May 2015,38,40792,0 - 1,L,D,W,L,D,L,L,D,D,L,J. Steer,R. Vlaar,N. Baker,C. N'Zogbia,F. Delph,A. Westwood,T. Cleverley,L. Bacuna,J. Grealish,G. Agbonlahor,C. Benteke,T. Sherwood,T. Heaton,J. Shackell,K. Trippier,B. Mee,M. Keane,D. Jones,S. Arfield,G. Boyd,F. Ulvestad,A. Barnes,D. Ings,S. Dyche
ARSENAL,WEST BROMWICH ALBION,24 May 2015,38,59971,4 - 1,W,L,W,L,L,L,W,W,D,W,D. Ospina,P. Mertesacker,K. Gibbs,Gabriel Paulista,Bellerín,M. Özil,Santi Cazorla,J. Wilshere,F. Coquelin,T. Walcott,A. Sánchez,A. Wenger,G. Myhill,J. Olsson,J. Lescott,G. McAuley,C. Dawson,J. Morrison,D. Fletcher,C. Yacob,C. Brunt,C. McManaman,S. Berahino,T. Pulis
HULL CITY,MANCHESTER UNITED,24 May 2015,38,24745,0 - 0,D,L,D,L,W,L,W,D,L,W,S. Harper,M. Dawson,P. McShane,J. Chester,S. Quinn,T. Huddlestone,Ahmed El Mohamady,D. Meyler,R. Brady,N. Jelavić,D. N'Doye,S. Bruce,Víctor Valdés,A. Valencia,A. Young,D. Blind,M. Rojo,C. Smalling,P. Jones,Á. Di María,Mata,Ander Herrera,W. Rooney,L. van Gaal
EVERTON,TOTTENHAM HOTSPUR,24 May 2015,38,39365,0 - 1,L,D,W,W,D,W,W,L,W,L,T. Howard,P. Jagielka,S. Coleman,J. Stones,B. Galloway,G. Barry,L. Osman,J. McCarthy,R. Barkley,K. Mirallas,R. Lukaku,Roberto Martínez,H. Lloris,J. Vertonghen,F. Fazio,M. Dembélé,N. Chadli,R. Mason,E. Lamela,C. Eriksen,N. Bentaleb,E. Dier,H. Kane,M. Pochettino
NEWCASTLE UNITED,WEST HAM UNITED,24 May 2015,38,52094,2 - 0,W,L,L,L,L,W,D,W,L,L,T. Krul,F. Coloccini,M. Williamson,D. Janmaat,P. Dummett,J. Gutiérrez,M. Sissoko,V. Anita,J. Colback,P. Cissé,E. Rivière,J. Carver,Adrián,W. Reid,A. Cresswell,C. Jenkinson,R. Burke,S. Downing,K. Nolan,A. Song,C. Kouyaté,C. Cole,E. Valencia,S. Allardyce
WEST HAM UNITED,EVERTON,16 May 2015,37,34977,1 - 2,W,D,W,L,L,L,D,W,W,D,Adrián,J. Collins,W. Reid,A. Cresswell,C. Jenkinson,S. Downing,A. Song,M. Noble,C. Kouyaté,C. Cole,E. Valencia,S. Allardyce,T. Howard,P. Jagielka,S. Coleman,J. Stones,B. Galloway,A. Lennon,G. Barry,L. Osman,J. McCarthy,R. Barkley,R. Lukaku,Roberto Martínez
TOTTENHAM HOTSPUR,HULL CITY,16 May 2015,37,35857,2 - 0,W,W,L,W,L,D,L,D,L,W,H. Lloris,J. Vertonghen,D. Rose,F. Fazio,N. Chadli,R. Mason,E. Lamela,C. Eriksen,N. Bentaleb,E. Dier,H. Kane,M. Pochettino,S. Harper,M. Dawson,P. McShane,J. Chester,S. Quinn,T. Huddlestone,Ahmed El Mohamady,D. Meyler,R. Brady,N. Jelavić,D. N'Doye,S. Bruce
SUNDERLAND,LEICESTER CITY,16 May 2015,37,46705,0 - 0,W,L,L,D,D,L,W,L,L,D,C. Pantilimon,J. O'Shea,B. Jones,S. Coates,P. van Aanholt,L. Cattermole,S. Larsson,L. Bridcutt,J. Defoe,D. Graham,C. Wickham,D. Advocaat,K. Schmeichel,R. Huth,M. Wasilewski,W. Morgan,J. Schlupp,E. Cambiasso,A. King,M. Albrighton,R. Mahrez,L. Ulloa,J. Vardy,N. Pearson
